node,type,invert_elev,x,y,catchment
34901079,junction,435.6454152908306,1959846.568,590996.243,WWTP4
34901080,junction,445.50571501143,1960039.188,591029.559,WWTP4
34901081,junction,441.6865633731268,1959994.36,590981.972,WWTP4
34901082,junction,446.6731013462027,1960070.43,591000.128,WWTP4
34901083,junction,425.0688341376682,1959031.573,590939.777,WWTP4
34901084,junction,424.36779273558545,1959165.266,590913.823,WWTP4
34901085,junction,427.3731267462535,1959619.536,590930.501,WWTP4
34901086,junction,430.9606299212599,1959776.084,590921.273,WWTP4
34901087,junction,438.01676403352803,1959931.66,590915.418,WWTP4
34901088,junction,438.87020574041145,1960080.456,590906.721,WWTP4
34901089,junction,423.02362204724403,1959115.503,590860.857,WWTP4
34901090,junction,426.44958089916184,1959707.199,590847.984,WWTP4
34901091,junction,434.8072136144272,1960008.548,590843.011,WWTP4
34901092,junction,421.3441706883413,1959191.393,590789.421,WWTP4
34901093,junction,423.3070866141732,1959646.732,590783.661,WWTP4
34901094,junction,431.35991871983737,1959953.1,590784.054,WWTP4
34901095,junction,432.18288036576064,1960081.81,590768.56,WWTP4
34901096,junction,440.9001778003556,1958944.969,591550.567,WWTP4
34901097,junction,427.96443992887987,1959537.733,590959.645,WWTP4
34901098,junction,423.9349758699517,1959510.438,590930.643,WWTP4
34901099,junction,423.2766065532131,1959516.166,590866.594,WWTP4
34901100,junction,422.82854965709936,1959475.366,590823.191,WWTP4
34901101,junction,421.94462788925574,1959568.078,590792.47,WWTP4
34901102,junction,433.05461010922016,1959285.139,591244.982,WWTP4
34901103,junction,419.37211074422146,1959070.255,590812.718,WWTP4
34901104,junction,433.70174133699845,1959338.759,591302.084,WWTP4
34901105,junction,442.6948136661177,1959107.554,591633.571,WWTP4
34901107,junction,432.62179324358647,1959855.499,590834.043,WWTP4
34901108,junction,436.8188976377952,1959917.949,590900.398,WWTP4
34901109,junction,432.9692659385319,1959796.867,590943.38,WWTP4
34901110,junction,433.3319786639574,1959780.935,590954.375,WWTP4
34901111,junction,434.8133096266193,1959696.812,591033.52,WWTP4
34901112,junction,435.77343154686315,1959628.232,591098.043,WWTP4
34901113,junction,437.98933197866404,1959662.898,591134.899,WWTP4
34901114,junction,437.59613919227843,1959731.478,591070.376,WWTP4
34902001,junction,474.75742951485904,1960115.482,591691.789,WWTP4
34902002,junction,476.94894589789186,1960211.149,591688.477,WWTP4
34902003,junction,480.0853441706884,1960296.636,591679.538,WWTP4
34902004,junction,480.9265938531875,1960364.197,591663.549,WWTP4
34902005,junction,479.58547117094224,1960711.152,591658.444,WWTP4
34902006,junction,482.21590043180083,1960757.116,591681.466,WWTP4
34902007,junction,489.18669037338066,1960879.387,591680.158,WWTP4
34902008,junction,492.6614173228346,1960948.909,591674.913,WWTP4
34902009,junction,473.7332994665989,1960123.865,591664.136,WWTP4
34902010,junction,476.13208026416055,1960210.522,591661.466,WWTP4
34902011,junction,480.48768097536197,1960293.257,591645.446,WWTP4
34902012,junction,471.4533909067818,1960126.666,591616.871,WWTP4
34902013,junction,474.4221488442977,1960210.124,591619.628,WWTP4
34902014,junction,480.0731521463041,1960431.49,591623.93,WWTP4
34902015,junction,478.7320294640588,1960417.07,591609.394,WWTP4
34902016,junction,479.57023114046206,1960508.767,591609.917,WWTP4
34902017,junction,478.3357886715771,1960568.325,591613.346,WWTP4
34902018,junction,478.60096520193014,1960629.801,591616.737,WWTP4
34902019,junction,476.32410464820924,1960659.938,591622.525,WWTP4
34902020,junction,476.46431292862576,1960677.921,591630.178,WWTP4
34902021,junction,489.2080264160528,1960949.313,591624.634,WWTP4
34902022,junction,494.4536449072897,1961055.124,591638.408,WWTP4
34902023,junction,478.1651003302006,1960760.735,591588.012,WWTP4
34902024,junction,483.6819913639826,1960853.529,591600.234,WWTP4
34902025,junction,487.78460756921504,1960993.275,591572.726,WWTP4
34902026,junction,473.8338836677672,1960342.292,591529.935,WWTP4
34902027,junction,474.52882905765796,1960362.429,591533.988,WWTP4
34902028,junction,475.16891033782053,1960568.114,591544.611,WWTP4
34902029,junction,473.2334264668529,1960662.46,591529.127,WWTP4
34902030,junction,476.5953771907543,1960805.444,591514.258,WWTP4
34902031,junction,482.95961391922776,1960959.122,591538.657,WWTP4
34902032,junction,486.50139700279385,1961033.242,591535.304,WWTP4
34902033,junction,489.1531623063246,1961125.038,591548.731,WWTP4
34902034,junction,493.6367792735585,1961257.809,591529.711,WWTP4
34902035,junction,471.2644145288289,1960315.432,591484.049,WWTP4
34902036,junction,472.023368046736,1960428.218,591476.183,WWTP4
34902037,junction,470.9504699009397,1960567.906,591477.707,WWTP4
34902038,junction,469.4691389382778,1960662.351,591462.426,WWTP4
34902039,junction,471.3253746507492,1960764.66,591472.622,WWTP4
34902040,junction,483.03886207772405,1961075.335,591495.893,WWTP4
34902041,junction,464.2509525019049,1960113.976,591444.961,WWTP4
34902042,junction,468.52730505461,1960258.739,591441.151,WWTP4
34902043,junction,467.9847599695198,1960267.39,591433.0,WWTP4
34902044,junction,470.56642113284215,1960400.832,591444.885,WWTP4
34902045,junction,473.785115570231,1960875.549,591449.914,WWTP4
34902046,junction,486.5806451612902,1961201.012,591469.322,WWTP4
34902047,junction,465.68046736093464,1960240.894,591415.448,WWTP4
34902048,junction,469.0820421640842,1960437.024,591410.755,WWTP4
34902049,junction,467.35991871983737,1960576.577,591411.476,WWTP4
34902050,junction,466.58267716535426,1960711.594,591416.254,WWTP4
34902051,junction,469.35636271272534,1960856.679,591429.879,WWTP4
34902052,junction,469.0546101092201,1960847.032,591412.005,WWTP4
34902053,junction,477.5829311658622,1961006.854,591423.092,WWTP4
34902054,junction,490.34798069596127,1961341.431,591458.479,WWTP4
34902055,junction,462.528829057658,1960196.808,591368.619,WWTP4
34902056,junction,466.03098806197596,1960321.162,591382.327,WWTP4
34902057,junction,479.33248666497326,1961138.371,591402.716,WWTP4
34902058,junction,484.4135128270255,1961287.974,591401.641,WWTP4
34902059,junction,463.7205994411988,1960374.398,591332.16,WWTP4
34902060,junction,465.43662687325366,1960509.013,591342.866,WWTP4
34902061,junction,464.45821691643374,1960645.785,591346.351,WWTP4
34902062,junction,464.0711201422402,1960772.346,591332.657,WWTP4
34902063,junction,467.5885191770382,1960939.42,591351.403,WWTP4
34902064,junction,467.2014224028447,1960907.327,591337.567,WWTP4
34902065,junction,472.4500889001777,1961078.858,591339.439,WWTP4
34902066,junction,478.23825247650484,1961234.512,591344.799,WWTP4
34902067,junction,482.2037084074167,1961326.915,591364.293,WWTP4
34902068,junction,457.4752349504698,1960126.636,591294.034,WWTP4
34902069,junction,460.63601727203445,1960448.172,591262.635,WWTP4
34902070,junction,461.25476250952494,1960579.673,591276.231,WWTP4
34902071,junction,461.0414020828041,1960719.541,591276.561,WWTP4
34902072,junction,461.9161798323595,1960835.429,591277.852,WWTP4
34902073,junction,468.7924815849631,1960970.006,591294.928,WWTP4
34902074,junction,467.69215138430263,1961019.348,591276.163,WWTP4
34902075,junction,470.77063754127494,1961171.248,591277.534,WWTP4
34902076,junction,475.70840741681474,1961264.271,591297.689,WWTP4
34902077,junction,476.52222504445,1961356.859,591311.601,WWTP4
34902078,junction,474.2453644907289,1961341.627,591295.433,WWTP4
34902079,junction,457.02717805435594,1960521.787,591193.028,WWTP4
34902080,junction,457.6672593345186,1960646.496,591199.038,WWTP4
34902081,junction,458.02692405384795,1960780.456,591219.477,WWTP4
