country_iso,country,WASTE_ID,catchment_id,WWTP_NAME,urban_zone_id,urban_zone_type,LAT_WWTP_deg,LON_WWTP_deg,POP_SERVED_people,WASTE_DIS_m3_day,per_capita_l_day,per_capita_water_L_person_day,building_count,positive_flow_building_count,zero_flow_building_count,assigned_population_people,ratio,average_assigned_population_per_building,sum_Lb_m,sum_Qb_m3_day,sum_Lb_over_Qb_day_per_m2,average_Lb_m,average_Qb_m3_day,max_Lb_m,min_positive_Qb_m3_day,catchment_status,schema_version,method_version
KOR,South Korea,56013,56013,,UC:332_2025,urban_centre,37.321,126.9,748513,282374.468,377.2472462068127,377.2472462068127,29957,29957,0,783365.5353556445,1.0465623647894486,26.14966569935723,156309988.73562428,295522.4909862435,147544875.34214112,5217.811821464909,9.864889374311295,10300.151929395557,0.0011925678305140046,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56014,56014,,UC:332_2025,urban_centre,37.335,126.699,376373,141985.516,377.2468163231688,377.2468163231688,17237,17237,0,393834.7112979763,1.0463946970106153,22.84821670232502,98633106.51252587,148572.89099471664,177271799.60162097,5722.173609823396,8.619417009614008,11384.422207418564,0.0010650190709410713,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56017,56017,,UC:332_2025,urban_centre,37.396,126.667,633857,239120.907,377.24740280536463,377.24740280536463,20990,20990,0,663183.1324644886,1.04626616486761,31.59519449568788,120137601.76929006,250184.11430655303,784556388.5234054,5723.563686007149,11.919205064628539,16614.080386476944,0.0010034571283538917,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56018,56018,,UC:332_2025,urban_centre,37.419,126.898,1460123,550827.172,377.2471031550082,377.2471031550082,30377,30377,0,1528105.8642199305,1.046559683136236,50.30469974717485,185817973.70965117,576473.5105911486,315145507.6943404,6117.061385576297,18.97730225470417,10851.072409575136,0.0010334349877861794,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56019,56019,,UC:332_2025,urban_centre,37.436,126.729,1280739,483155.09,377.24711279971956,377.24711279971956,26050,26050,0,1340473.919521778,1.0466409779992472,51.45773203538495,137358443.11921832,505689.91592291347,288682418.83410025,5272.876895171528,19.412280841570574,12530.029383519404,0.0010110728352790736,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56020,56020,,UC:332_2025,urban_centre,37.462,127.122,1040737,392615.158,377.24723729434044,377.24723729434044,46035,46035,0,1089164.752629817,1.0465321715570957,23.65949283436118,242870746.17367327,410884.3938879743,673505027.6965238,5275.784645892762,8.925478307548046,21182.170281932424,0.0011264743060290974,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56023,56023,,UC:332_2025,urban_centre,37.495,127.089,923808,348503.936,377.24715092313556,377.24715092313556,18538,18538,0,966791.3712327048,1.0465284682885456,52.15187027903252,160134786.21871927,364719.2903346088,455277922.75410175,8638.191078795948,19.674144478077938,19128.055760967338,0.0013705684320524613,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56024,56024,,UC:332_2025,urban_centre,37.497,127.083,1030869,388892.3,377.2470604897421,377.2470604897421,25889,25889,0,1078795.8810204726,1.0464917278727681,41.67004832247181,147427879.56919155,406972.57498341496,106157835.42037122,5694.614684583859,15.719903240118002,15871.428676679534,0.0024013413449275886,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56025,56025,,UC:332_2025,urban_centre,37.5,126.996,1245650,469918.184,377.2473680407819,377.2473680407819,33530,33530,0,1303581.1038952079,1.0465067265244714,38.878052606478015,131226977.27038679,491772.540472163,164434613.99736533,3913.7183796715412,14.666643020344855,9393.175653156497,0.0011590320895029794,assigned,1.0,ghsl2025-capacitated-building-v1
KOR,South Korea,56027,56027,,UC:332_2025,urban_centre,37.547,126.769,1493639,563471.007,377.24711727532554,377.24711727532554,27178,27178,0,1563153.6749870144,1.0465404793173012,57.51540492262177,152848828.0741053,589695.2177471827,144940817.1343256,5623.991024876933,21.697520705982143,14074.006782214878,0.0013138320868985216,assigned,1.0,ghsl2025-capacitated-building-v1
