Node,HRT,Total_Length,x_node,y_node
FGJ7034778,3.1437303330729414,11079.0,835582.527,815225.6759999999
FGJ7009681,2.9630243951791932,10071.0,837169.206,815600.542
FMH7013586,2.9934544888884,10464.0,835447.6239999998,815597.407
FLH7001864,3.1404809365158246,10931.0,835862.974,815451.6679999998
FGJ7009520,3.7442092828608606,14087.0,833167.011,813752.9429999999
FGJ7036681,1.843187353930604,6397.0,832860.1119999998,816503.9699999999
FGJ7009880,2.017468678241923,7237.0,832225.826,816425.0479999998
FGJ7009881,1.9255923062365778,6836.0,832343.1239999998,816539.316
FGJ7010020,1.8450323617046067,6427.0,832716.422,816607.392
FTH7006000,1.9550711314518525,6946.0,832544.088,816229.986
FGJ7010045,2.027533671824295,6891.0,832670.333,816456.805
FGJ7010046,1.9344353970903065,6812.0,832749.214,816245.964
FGJ7009920,3.981330175299899,13477.0,839746.91,816439.8939999999
FGJ7009921,3.895761785272216,13256.0,839650.9919999999,816633.561
FLH7011380,4.398113702754141,14610.0,843319.054,814710.513
FMH7055820,3.7119770252513002,12369.0,839138.478,817068.593
FLH7012020,3.75203465482105,12530.0,839012.8449999999,816916.0919999998
FGJ7009940,4.027680058924831,14111.0,840083.5919999998,816273.909
FGJ7009960,4.005664570619098,13926.0,840434.234,816252.924
FMH7057640,4.595834883221765,15678.0,842218.679,813843.5749999998
FGJ7036688,1.8527394450033534,6291.0,832905.4549999998,816566.143
FGJ7012780,2.912270284189584,9887.0,836166.832,815481.0
FLH7012682,3.1040482117699986,10592.0,837098.873,815410.172
FGJ7036697,1.746477977684045,5966.0,833361.792,816515.23
FMH7013913,3.092406121383412,10879.0,835721.3619999998,815322.319
FMH7013301,4.361873257247284,14925.0,837811.0,815550.632
FGJ7034452,2.880129009546898,9831.0,836288.809,815495.409
FMH7009366,3.0177194173818287,10248.0,836855.7759999998,815320.392
FGJ7034477,3.2739333666012675,11507.0,836129.0159999998,815107.8469999998
FLH7011440,3.285890737745137,11536.0,836163.6439999999,815094.586
FGJ7034904,2.000661876907536,7080.0,832419.2659999998,816391.643
FGJ7036732,1.8305265106029405,6263.0,833152.3669999999,816484.015
FGJ7036733,1.8275483707777815,6259.0,833147.7539999998,816482.408
FGJ7036734,1.819646041735921,6239.0,833136.197,816470.4279999998
FMH7013222,3.0775779717139082,10448.0,837522.6219999999,815595.0
FMH7008066,2.2536655099420666,7840.0,831686.1169999999,816277.397
FMH7008077,2.3046426856750903,7911.0,831613.767,816276.382
FGJ7011360,1.8973706059278848,6485.0,832770.8303999999,816476.8253999999
FMH7060801,1.9235176151371747,6717.0,833901.208,816138.681
FMH7019796,3.06964697582629,10587.0,837138.16,815212.694
FGJ7035756,4.109147307394476,14097.0,837822.988,816239.8122
FGJ7017102,1.9786680688406169,6741.0,833648.0403,816224.5594
FLH7011866,3.1124968846154575,10742.0,835528.0139999999,815452.839
FGJ7034940,2.961193529920654,10090.0,837198.4416,815614.8745
FGJ7034942,2.954143733486835,10075.0,837185.4175,815623.0243
FGJ7034943,2.951919659815813,10071.0,837177.5302,815622.2435
FGJ7009561,2.861589309668968,9659.0,836704.68,815562.7199999999
FLH7011020,3.9082394262117504,13313.0,840841.714,815765.052
FGJ7010271,3.3535468270700513,12297.0,834654.4819999998,815215.507
FGJ7010272,4.5438108752399415,18050.0,835051.615,814463.182
FGJ7036696,1.9478571119420327,6793.0,832812.076,816320.5699999998
FMH7063520,2.051895828196704,6744.0,833585.726,816290.767
FGJ7036723,2.051895828196704,6740.0,833587.4399999998,816298.6879999998
FMH7063531,2.0232087606107623,6739.0,833582.961,816319.587
FLH7017547,3.901602175434676,13307.0,840956.2759999998,815956.194
FGJ7011800,1.9293263713039794,7271.0,833631.841,815784.522
FGJ7011803,3.873598939457305,13184.0,841049.4379999998,815741.277
FGJ7011640,3.1379957201022606,10699.0,835225.055,815715.991
FLH7014260,4.296864235815249,14775.0,837889.6609999998,815724.768
FGJ7036680,1.8076752833131797,6480.0,833450.8519999998,816187.587
FGJ7036689,1.9360330835788147,6648.0,832557.49,816531.586
FGJ7036690,1.9443708320208055,6666.0,832557.5919999998,816513.917
FMH7061960,1.8974503811485361,7270.0,833439.074,815804.902
FGJ7010264,3.3414152352816346,12274.0,834446.881,815161.165
FGJ7010265,3.265881673079825,12030.0,834285.858,815211.834
FGJ7010266,3.3973850296855383,13717.0,833489.5899999999,814726.951
FGJ7010267,3.428036738375148,13842.0,833505.454,814688.925
FGJ7010268,3.4293135999724917,13853.0,833443.8839999998,814636.0
FGJ7010269,3.3061201031907905,12403.0,834238.81,814905.4259999999
FGJ7003899,1.791929644494932,6365.0,833298.191,816223.382
FGJ7035852,3.002691693337736,10224.0,836563.5139999999,814962.598
FLH7017646,4.588138168075686,15547.0,842373.121,813743.1459999998
FGJ7011380,3.33878920052253,11339.0,834699.096,815835.662
FGJ7024560,1.9811806695573304,7053.0,833796.1764,815887.5036
FGJ7036782,1.8694404588067168,6488.0,832891.012,816433.65
FGJ7036754,2.054190543602938,7016.0,832581.5529999998,816412.547
FGJ7036736,1.819646041735921,6240.0,833133.419,816469.04
FMH7063504,4.16635016369184,14819.0,835291.439,812242.032
FGJ7012720,2.8043765406003818,9496.0,836542.6219999999,815663.4209999999
FGJ7035086,1.9294374999704502,6836.0,832399.5089999998,816570.596
FGJ7035088,2.353930067189405,8345.0,831266.7249999999,815951.157
FGJ7014266,3.0277022271587946,10591.0,835633.3839999998,815529.5479999998
FLH7017380,1.9196392611844388,6606.0,833689.404,816340.1929999999
FGJ7014720,1.821218850499797,6151.0,833416.1069999998,816389.562
FLH7018860,2.309633425026045,8186.0,831393.7489999998,815990.9129999998
FGJ7036776,1.868773060798816,6404.0,832755.218,816585.2029999999
FMH7062485,3.9534135195591347,13393.0,839720.3399999999,816509.709
FGJ7036787,1.9107686928030956,6666.0,832753.246,816406.386
FGJ7036788,1.9015952075330502,6644.0,832725.4009999998,816407.5629999998
