FEAT_NUM,Unnamed: 0,OID_,FR_PNT,TO_PNT,WIDTH,HEIGHT,SHAPE_DESC,US_IL,DS_IL,GEOMETRY_L,us_x,us_y,ds_x,ds_y,Assigned_Outfall,stay
FWD4034942,11582,11582,FMH4032953,FMH4032925,375,0,Circular,45.45,45.03,11,838114.996,822912.6269999999,838114.996,822901.5259999998,SCISTW,True
FWD4034945,11584,11584,FMH4032956,FMH4032930,225,0,Circular,41.96311887206131,40.14,12,838077.985,822797.28,838068.378,822804.707,SCISTW,True
FWD4033615,11585,11585,FMH4031863,FMH4031755,600,0,Circular,81.86,79.56,43,838602.0354,823269.5982999998,838559.371,823272.986,SCISTW,True
FWD4033616,11586,11586,FMH4031755,FMH4031756,600,0,Circular,79.56,76.2,47,838558.6219999999,823273.018,838511.371,823274.9869999998,SCISTW,True
FWD4032805,11587,11587,FMH4030995,FMH4030996,450,0,Circular,91.75,91.01,2,842488.4719999998,819606.942,842490.126,819606.665,SCISTW,True
FWD4033450,11588,11588,FMH4031655,FMH4031656,300,0,Circular,5.58,5.45,18,841597.9769999998,818659.628,841597.0159999998,818641.3769999999,SCISTW,True
FWD4033457,11590,11590,FMH4031658,FMH4031659,900,0,Circular,2.29,2.24,29,841504.012,818070.253,841489.192,818094.962,SCISTW,True
FWD4034419,11591,11591,FMH4032431,FMH4032432,1800,0,Circular,2.26,2.24,18,839057.4429999999,821898.949,839049.015,821883.3769999999,SCISTW,True
FWD4034420,11592,11592,FMH4032432,FMH4032433,1800,0,Circular,2.24,2.13,37,839048.8349999998,821882.672,839048.6409999998,821845.375,SCISTW,True
FWD4034422,11593,11593,FMH4032434,FMH4032435,1800,0,Circular,2.1,1.9,37,839061.7489999998,821827.0529999998,839058.534,821789.87,SCISTW,True
FWD4034423,11594,11594,FMH4032435,FMH4032436,1800,0,Circular,1.9,1.85,22,839058.5189999999,821789.1219999999,839059.507,821767.3299999998,SCISTW,True
FWD4034425,11595,11595,FMH4032451,FMH4032437,1800,0,Circular,1.79,1.56,29,839058.5969999998,821756.848,839082.8739999998,821741.261,SCISTW,True
FWD4035094,11596,11596,FMH4033107,FMH4033096,375,0,Circular,13.496030312949204,13.432972916167751,1,838098.2809999998,822456.675,838098.2809999998,822455.425,SCISTW,True
FWD4034994,11597,11597,FMH4033003,FMH4033081,900,0,Circular,16.87,15.0,81,837764.6559999998,822511.05,837845.902,822511.05,SCISTW,True
FWD4034997,11599,11599,FMH4033005,FMH4033006,900,0,Circular,13.18,12.56,54,837835.233,822394.679,837828.3299999998,822341.422,SCISTW,True
FWD4034998,11600,11600,FMH4033006,FMH4033007,900,0,Circular,12.54,12.34,17,837828.4059999998,822340.697,837834.157,822324.404,SCISTW,True
FWD4035000,11601,11601,FMH4033008,FMH4033009,900,0,Circular,12.19,11.4,65,837849.615,822323.223,837906.949,822352.878,SCISTW,True
FWD4035001,11602,11602,FMH4033009,FMH4033010,900,0,Circular,11.38,10.46,41,837907.657,822353.05,837948.792,822353.05,SCISTW,True
FWD4035002,11603,11603,FMH4033010,FMH4033011,900,0,Circular,10.46,10.12,34,837949.5779999999,822352.809,837975.991,822331.287,SCISTW,True
FWD4035003,11604,11604,FMH4033011,FMH4033012,900,0,Circular,10.07,9.5,46,837976.587,822330.833,838013.976,822304.268,SCISTW,True
FWD4034442,11605,11605,FMH4032454,FMH4032578,600,0,Circular,4.27,4.323395919236262,42,838927.919,821816.9529999999,838887.6439999999,821806.148,SCISTW,True
FWD4036775,11606,11606,FMH4034557,FMH4034558,675,0,Circular,1.73,1.55,39,842313.731,817050.268,842286.262,817077.7369999998,SCISTW,True
FWD4036777,11607,11607,FMH4034560,FMH4034561,225,0,Circular,2.42,2.29,45,842405.04,816956.689,842373.944,816988.576,SCISTW,True
FWD4036778,11608,11608,FMH4034561,FMH4034556,225,0,Circular,2.14,1.84,46,842373.419,816989.1119999998,842341.2659999998,817021.724,SCISTW,True
FWD4036780,11609,11609,FMH4034549,FMH4034564,400,0,Circular,18.5,18.06,19,842338.863,817217.7643,842352.4976,817204.0701,SCISTW,True
FWD4036782,11610,11610,FMH4034564,FMH4034566,400,0,Circular,17.76,17.04,31,842352.9952999998,817203.5564,842374.4085999998,817181.3375999999,SCISTW,True
FWD4036784,11611,11611,FMH4034566,FMH4034567,400,0,Circular,16.45,15.69,38,842374.9425999998,817180.8266,842400.9645999998,817153.7441,SCISTW,True
FWD4036786,11612,11612,FMH4034568,FMH4034569,400,0,Circular,11.63,10.11,17,842420.5433999998,817134.0968,842433.4286,817123.5444999998,SCISTW,True
