node,type,invert_elev,x,y,catchment
FCH1002035,junction,-1.24,823038.2860000003,834594.5240000002,Yuen_Long_STW
FCH1002036,junction,-6.24,823010.6299999999,834789.4619999994,Yuen_Long_STW
FCH1002037,junction,-6.27,822964.2379999999,834926.1469999999,Yuen_Long_STW
FCH1002038,junction,2.89,822838.4299999997,835226.4759999998,Yuen_Long_STW
FCH1002039,junction,-7.08,822799.3760000002,835331.3680000007,Yuen_Long_STW
FCH1002040,junction,-7.0,822913.6390000004,835537.3479999993,Yuen_Long_STW
FCH1002061,junction,1.29,822936.9309999999,835414.7329999991,Yuen_Long_STW
FCH1002063,junction,1.77,822962.9630000005,835333.2070000004,Yuen_Long_STW
FCH1002064,junction,1.01,823036.7240000004,835164.557,Yuen_Long_STW
FCH1002066,junction,1.2,823168.8600000003,835058.6300000008,Yuen_Long_STW
FCH1002068,junction,0.96,823312.7259999998,835211.0720000006,Yuen_Long_STW
FCH1002069,junction,0.08,823322.4519999996,835222.3709999993,Yuen_Long_STW
FCH1002100,junction,-5.72,822630.5070000002,836136.2909999993,Yuen_Long_STW
FCH1002101,junction,-7.4,822617.756,836135.5130000003,Yuen_Long_STW
FCH1002120,junction,-7.28,822471.2599999998,836013.9179999996,Yuen_Long_STW
FCH1002121,junction,0.78,822374.8020000001,836090.7860000003,Yuen_Long_STW
FCH1002161,junction,1.08,821780.8140000002,836433.909,Yuen_Long_STW
FCH1002163,junction,-0.41,821146.8169999998,836583.7229999993,Yuen_Long_STW
FCH1002164,junction,-7.32,821085.5990000004,836416.4220000003,Yuen_Long_STW
FCH1002165,junction,-7.27,820925.6069999998,836340.284,Yuen_Long_STW
FCH1002180,junction,0.7,824004.909,833454.3990000002,Yuen_Long_STW
FCH1002224,junction,21.712773870916095,834859.6239,842648.8681000005,Shek_Wu_Hui_STW
FCH1002260,junction,16.392055770102754,813853.7381999996,826276.9094999991,Pillar_Point_STW
FCH1002281,junction,2.97,813860.3462000001,826282.158,Pillar_Point_STW
FCH1002281_2,junction,4.434472435169225,813861.5732999996,826281.3873000002,Pillar_Point_STW
FCH1002281_3,junction,4.46,813862.4223000002,826279.3192000003,Pillar_Point_STW
FCH1002323,junction,1.8019470988938802,812584.5771000003,825349.5167999994,Pillar_Point_STW
FCH1002324,junction,1.7569470988938802,812504.0410000002,825372.1004000008,Pillar_Point_STW
FCH1002325,junction,1.6909470988938802,812391.2878999999,825368.6510000005,Pillar_Point_STW
FCH1002326,junction,1.63894709889388,812324.4973999994,825291.8333,Pillar_Point_STW
FCH1002360,junction,13.372649733448231,813723.7643999998,826142.3745000008,Pillar_Point_STW
FCH1002403,junction,10.309605512943682,814716.9280000003,827679.3599999994,Pillar_Point_STW
FCH1002420,junction,45.61499583923336,833892.9560000002,836922.3927999996,Shek_Wu_Hui_STW
FCH1002900,junction,13.222602253546315,830779.2049000002,839358.0253999997,Shek_Wu_Hui_STW
FCH1002940,junction,10.229605512943682,814164.7756000003,826618.7771000005,Pillar_Point_STW
FCH1002960,junction,12.549605512943682,814243.7437000005,826752.3968000002,Pillar_Point_STW
FCH1003000,junction,9.749605512943681,814018.2414999995,826423.0637999997,Pillar_Point_STW
FCH1003040,junction,12.749605512943681,814256.4477000004,826811.9739999995,Pillar_Point_STW
FCH1003041,junction,-6.66,814325.2171,827044.3637000006,Pillar_Point_STW
FCH1003042,junction,0.37,814396.9669000003,827185.6724999994,Pillar_Point_STW
FCH1003043,junction,7.309605512943682,814540.2224000003,827451.4641999993,Pillar_Point_STW
FCH1003201,junction,40.602138010384444,832437.5732000005,834693.1910999995,Tai_Po_Sewage_Treatment_Works
