node,type,invert_elev,x,y,catchment
CN2867,junction,0.3134801538188421,-79.3903214,43.6265375,WWTP1
CN2886,junction,2.151937427502102,-79.356504,43.6277088,WWTP1
CN2888,junction,2.7773122630133806,-79.3567675,43.6320021,WWTP1
CN3017,junction,1.7921552496807591,-79.3765808,43.6203109,WWTP1
CN3061,junction,-8.932794873543635,-79.1688073,43.8042412,WWTP4
CN3062,junction,-9.145815417496578,-79.1688011,43.8042266,WWTP4
CN3076,junction,-3.4553490553807453,-79.1713752,43.8083814,WWTP4
CN3077,junction,-4.578983241549039,-79.1705615,43.8080478,WWTP4
CN3099,junction,116.46604850853586,-79.1649163,43.7955625,WWTP4
CN3100,junction,-20.884557966835178,-79.164105,43.7938817,WWTP4
CN3115,junction,97.34350419422314,-79.1421915,43.7927778,WWTP4
CN3118,junction,177.12836658234048,-79.2640581,43.825216,WWTP4
CN3173,junction,139.6886182468098,-79.2505157,43.7838873,WWTP4
CN3175,junction,167.86333800070906,-79.2558875,43.7854872,WWTP4
CN3177,junction,161.88686254296945,-79.2541995,43.7854784,WWTP4
CN3178,junction,161.6620431863866,-79.2540837,43.7854177,WWTP4
CN3190,junction,156.17636336318378,-79.3057333,43.7895477,WWTP4
CN3192,junction,154.11696765769818,-79.3035057,43.788881,WWTP4
CN3193,junction,156.986426646885,-79.306664,43.7898275,WWTP4
CN3203,junction,140.96611303987112,-79.2884715,43.7858449,WWTP4
CN3209,junction,142.43669723820108,-79.2895965,43.7864922,WWTP4
CN3211,junction,147.2337644128689,-79.2951056,43.7868311,WWTP4
CN3212,junction,165.7030703333933,-79.2909282,43.7896032,WWTP4
CN3213,junction,141.8920140400251,-79.289154,43.7862329,WWTP4
CN3214,junction,137.73420357043366,-79.2858166,43.7836894,WWTP4
CN3219,junction,180.12989273699455,-79.3077997,43.7807919,WWTP4
CN3220,junction,175.41557564282832,-79.3052575,43.7762709,WWTP4
CN3235,junction,160.02029199519487,-79.2696965,43.7906442,WWTP4
CN3236,junction,155.7151861811135,-79.2512806,43.7840912,WWTP4
